A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
turtle,slow,rabbit,fast,rabbit,hop,rabbit,happy,rabbit,tail
man,king,woman,queen,woman,girl,woman,prince,woman,crown
read,book,write,letter,write,hand,write,picture,write,paint
bird,robin,toy,doll,dress,doll,hair,doll,game,doll
happy,laugh,sad,cry,eyes,cry,glad,cry,giggle,cry
grass,green,sky,blue,sky,red,sky,yellow,sky,white
dog,walk,fish,swim,cat,swim,mouse,swim,water,swim
maple,tree,rose,flower,rose,garden,rose,vase,rose,leaf
walk,feet,hear,ears,see,ears,head,ears,smell,ears
dog,fur,bird,feathers,bird,nest,bird,eggs,bird,collar
skater,ice,diver,pool,diver,snow,diver,grass,diver,swim
canoe,paddle,sailboat,wind,sailboat,water,sailboat,ropes,sailboat,oars
ice skates,ice,sled,snow,sled,jacket,sled,winter,sled,mittens
blanket,warm,towel,dry,towel,bath,towel,cotton,towel,cold
milk,drink,meat,chew,juice,chew,glass,chew,plate,chew
person,skin,tree,bark,tree,roots,tree,nest,tree,acorns
princess,pretty,witch,ugly,witch,hat,witch,happy,witch,broom
wet,dry,far,near,full,near,back,near,down,near
eye,see,nose,smell,sniff,smell,mouth,smell,feet,smell
money,bank,book,library,school,library,coins,library,read,library
right,wrong,true ,false ,true ,left,true ,honest,true ,turn
first,second,third,fourth,third,fifth,third,sixth,third,tenth
four,square,three,triangle,side,triangle,two,triangle,five,triangle
ball,wall,top,mop,top,call,top,tap,top,fall
Indian,teepee,Eskimo,igloo,Eskimo,sled,Eskimo,jacket,Eskimo,cold
good,bad,nice,nasty,nice,kind,nice,good,nice,pretty
hammer,tool,banana,fruit,banana,orange,banana,apple,banana,peel
bear,cub,cow,calf,sheep,calf,horse,calf,puppy,calf
farmer,field,sailor,ocean,crops,ocean,waves,ocean,seagull,ocean
flag,pole,kite,string,toy,string,stars,string,tail,string
begin,end,start,finish,go,finish,near,finish,fast,finish
chair,sit,bed,sleep,doll,sleep,lamp,sleep,house,sleep
full,empty,back,front,back,near,back,behind,back,first
smile,mouth,wink,eye,wink,laugh,wink,nose,wink,ear
whale,big,kitten,small,kitten,cat,kitten,fat,kitten,paws
lemon,sour,candy,sweet,chips,sweet,lime,sweet,pickle,sweet
ceiling,floor,up,down,up,over,up,hill,up,by
line,mine,dry,cry,dry,wet,dry,nine,dry,door
work,play,wake,sleep,rest,sleep,nap,sleep,game,sleep
my,mine,you,your,you,his,you,hers,you,its
thick,thin,wide,narrow,tall,narrow,short,narrow,slim,narrow
marcher,parade,drummer,band,drummer,sticks,drummer,class,drummer,family
big,small,huge,tiny,short,tiny,more,tiny,round,tiny
lemon,canary,coal,crow,coal,bluebird,coal,carrot,coal,robin
bad,worst,good,best,good,most,good,last,good,first
hide,show,close,open,close,see,close,tell,close,secret
happy,smile,tired,yawn,tired,sneeze,tired,snore,tired,bed
walk,run,slow,fast,still,fast,speedy,fast,back,fast
two,second,five,fifth,one,fifth,four,fifth,three,fifth
coin,dime,tree,pine,tree,leaf,tree,trunk,tree,grow
wash,sink,cook,stove,clean,stove,shop,stove,slice,stove
clock,time,calendar,date,calendar,wall,calendar,hour,calendar,grades
hat,head,roof,house,window,house,door,house,steps,house
hawk,bird,shark,fish,shark,teeth,shark,fins,shark,whale
speak,say,listen,hear,listen,ears,listen,tell,listen,sound
do,did,come,came,come,comb,come,coming,come,went
pets,step,part,trap,tape,trap,trip,trap,port,trap
gold,mine,oil,well,oil,truck,oil,gas,oil,ship
beef,cow,pork,pig,lamb,pig,turkey,pig,porcupine,pig
tallest,shortest,most,least,most,more,most,all,most,some
logs,cabin,twigs,nest,eggs,nest,birds,nest,tree,nest
elephant,circus,horse,rodeo,cat,rodeo,deer,rodeo,mouse,rodeo
teeth,bite,claws,scratch,legs,scratch,ears,scratch,nose,scratch
low,high,under,over,across,over,beside,over,above,over
brush,paint,needle,sew,pin,sew,yarn,sew,hem,sew
baby,child,teen,adult,teen,infant,teen,boy,teen,toddler
swing,push,wagon,pull,blocks,pull,tent,pull,skates,pull
teach,teacher,learn,student,desk,student,paper,student,talk,student
pig,dig,start,heart,start,heat,start,hurt,start,fort
red,cherry,white,snow,yellow,snow,green,snow,tan,snow
feet,walk,brain,think,brain,head,brain,smart,brain,school
cloth,denim,metal,steel,metal,glass,metal,brick,metal,truck
race,run,trail,hike,river,hike,cave,hike,boots,hike
break,brake,which,witch,which,wish,which,wick,which,watch
wild,tiger,tame,dog,tame,zebra,tame,fox,tame,gorilla
larger,smaller,grow,shrink,grow,more,grow,big,grow,flower
thank you,after,please,before,please,ask,please,now,please,want
A,beginning,L,middle,L,late,L,last,L,third
potatoes,pound,gasoline,gallon,gasoline,ounce,gasoline,pint,gasoline,inch
warm,hot,cool,cold,cool,mild,cool,snow,cool,wind
hat,baseball cap,coat,jacket,coat,blouse,coat,scarf,coat,boots
bus,bus stop,train,station,train,car,train,dock,train,field
enter,in,exit,out,exit,by,exit,near,exit,far
gum,chewy,potato chip,crispy,potato chip,soft,potato chip,broken,potato chip,creamy
peanut,shell,pea,pod,corn,pod,beet,pod,grape,pod
bus,driver,airplane,pilot,carrot,pilot,truck,pilot,bicycle,pilot
have,haven't,will,won't,want,won't,was,won't,were,won't
top,pot,nap,pan,nap,nip,nap,pat,nap,tip
bath,th,fish,sh,fish,ch,fish,wh,fish,fi
be,bee,sale,sail,sale,seal,sale,sole,sale,sell
