A,B,C,D,Distractor 1,,Distractor 2,
good,bad,happy,sad,happy,great,happy,smile
mouth,eat,feet,walk,feet,talk,feet,see
fire,hot,ice,cold,ice,blue,ice,tired
dirt,brown,leaves,green,leaves,gray,leaves,purple
flower,plant,dog,animal,dog,house,dog,brother
teacher,school,doctor,hospital,doctor,house,doctor,restaurant
book,read,television,watch,television,eat,television,sleep
awful,bad,fantastic,good,fantastic,delicious,fantastic,sunny
thirsty,drink,hungry,eat,hungry,write,hungry,hear
big,large,little,small,little,tall,little,quick
nice,mean,short,tall,short,orange,short,angry
knife,metal,pillow,wood,pillow,cloth,pillow,glass
anger,feeling,sister,sibling,sister,man,sister,book
jazz,music,painting,art,painting,song,painting,dog
pen,write,ruler,measure,ruler,eat,ruler,feel
genius,smart,idiot,stupid,idiot,mad,idiot,cold
doorknob,door,key,keyboard,key,water,key,kitchen
beach,sand,forest,trees,forest,math,forest,students
lettuce,vegetable,apples,fruit,apples,house,apples,music
tub,bathroom,stove,kitchen,stove,mountain,stove,car
broom,clean,stove,cook,stove,write,stove,look
mother,woman,father,man,father,shoe,father,teacher
hammer,hit,gun,shoot,gun,feel,gun,eat
coffee,drink,violin,instrument,violin,food,violin,person
right,left,after,before,after,up,after,orange
shoes,feet,helmet,head,helmet,arms,helmet,toes
bread,food,red,color,red,song,red,television
poor,money,sad,happiness,sad,age,sad,feelings
brick,wall,page,book,page,house,page,car
day,week,month,year,month,November,month,hour
