A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
shoe,foot,glove,hand,coat,hat,buckle,belt,eye,face
moon,evening,fall,rain,sun,morning,comet,night,rain,dusk
big,huge,fat,round,small,tiny,heavy,light,long,thin
short,tall,small,large,soft,quiet,fat,long,little,brief
cold,winter,autumn,leaf,hot,summer,twilight,night,warm,afternoon
abacus,calculator,taxi,stagecoach,chariot,automobile,plow,tractor,pencil,pen
car,trunk,otter,plants,sundae,icecream,meal,chef,bank,money
happy,giggle,cry,tears,frustrated,moan,smile,frown,angry,sad
tennis,court,ring,boxing,football,field,house,backyard,volleyball,net
cola,drink,carrot,vegetable,hamburger,hotdog,water,liquid,coffee,caffeine
