A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
weary,sleep,thirst,water,tired,food,pillow,bed,dark,night
banana,fruit,apple,seed,tulip,flower,branch,tree,pecan,almond
doubles,tennis,duo,singing,group,dancing,troupe,acting,band,marching
fast,swift,long,thin,slow,sluggish,soft,smooth,hot,tepid
trout,fish,gorilla,ape,bird,duck,dog,wolf,lion,tiger
gym,exercise,cafeteria,eat,mall,sell,car,sit,auditorium,clap
symphony,notes,graph,bars,language,words,novel,stories,sacred,rituals
fickle,mercurial,sprightly,tranquil,flaky,flighty,calm,hot,erratic,manageable
lion,roar,eagle,soar,duck,quack,frog,leap,horse,corral
light,day,sleep,midnight,dark,night,morning,cold,lunch,noon
