A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
alphabet,letter,orchestra,instrument,novel,mystery,synthesis,opinion,data,quantity
calf,cow,puppy,dog,nest,bird,horse,bull,shell,turtle
radiant,somber,ample,scant,savory,delightful,pandemonium,din,intrepid,obvious
esteem,admirable,disdain,repugnant,disapproval,imitated,envy,dismissed,favor,contentious
likeness,caricature,photograph,portrait,poem,song,fiction,nonfiction,drama,parody
pseudonym,author,alias,lawbreaker,title,nobility,degree,scholar,mask,costumer
myopia,nearsightedness,vertigo,dizziness,neurosis,psychosis,epidemic,fever,apoplexy,anger
symphony,note,painting,brushstroke,graph,bar,code,language,novel,short story
hermit,solitary,pessimist,negative,donor,sacrificial,inquisitor,malicious,politician,eloquent
principal,school,president,nation,consultant,government,advisor,court,senator,congress
