A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
heat,sun,steam,locomotive,brush,cat,fish,lure,toaster,oven,moon,ocean
surfboard,wave,skateboard,pavement,street,sign,car,wheel,engine,gasoline,icing,doughnut
heater,hot tub,ink,printer,rock,sand,shell,beach,moss,rock,photo,frame
smoke,fire,exhaust,car,spider,bit,ketchup,bottle,jug,water,razor,beard
light bulb,electricity,yo-yo,string,candy,wrapper,barn,hay,star,constellation,cow,graze
needle,thread,truck,trailer,diamond,jeweler,glass,liquid,sign,street,dirt,shoe
occasional,frequent,seldom,rarely,difficult,easy,chatty,devious,daily,regular,grim,blight
bombastic,quiet,demure,crass,fearful,anxious,sentiment,caring,work,money,cruel,mean
switch,light,steering wheel,car,wind,current,travel,destination,plan,action,actor,movie
evolve,dismantle,predict,withhold,determine,flee,cringe,retreat,falter,surrender,return,advance
sugar,gum,flour,cake,wind,branch,cheese,mouse,grass,mower,sun,grass
hypothesis,test,cake,bake,track,train,slim,large,ice,flavor,corn,yellow
crafty,cunning,tragic,calamitous,tragic,anticipation,tragic,expected,tragic,destination,tragic,reality
mower,grass,clock,time,syrup,pancake,pan,cookie,wheel,tire,spoon,cup
least,most,grand,unimpressive,doctor,medicine,paper,scissors,sign,direction,crowd,passengers
muscle,movement,battery,watch,dream,wake,drive,notion,house,room,TV,picture
coat,winter,marker,paper,alligator,teeth,psychiatric,mind,geologist,rock,food,cook
jury,trial,battery,engine,mail,delivery,rain,water,hot,pain,chocolate,sweet
fluctuation,interval,stumble,jump,staple,paper,jaunt,window,challenge,relationship,pine,fall
ocean,island,glass,liquid,glass,shape,glass,shatter,glass,bend,glass,clear
demonstrative,feeling,pensive,serious,pensive,altruistic,pensive,expectant,pensive,careless,pensive,willful
interloper,guest,division,whole,division,reluctance,division,anger,division,math,division,part
dejected,demoralize,callous,indurate,callous,vex,callous,reject,callous,inlay,callous,shear
satiate,satisfy,gregarious,social,gregarious,simple,gregarious,context,gregarious,hermit,gregarious,urban
ice,cold,empathy,caring,empathy,empathic,empathy,memory,empathy,usable,empathy,sequence
impulsive,calculated,concrete,subjective,concrete,antithesis,concrete,benign,concrete,retaliate,concrete,strength
congenial,agreeable,stoical,unemotional,stoical,difficult,stoical,blind,stoical,unending,stoical,finite
treaty,peace,exercise,fitness,exercise,challenge,exercise,stretching,exercise,pain,exercise,sweat
enormous,miniscule,eradicate,establish,eradicate,support,eradicate,define,eradicate,passive,eradicate,design
tile,floor,book,shelf,book,page,book,reader,book,words,book,author
