A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
policing,precinct,banking,branch,banking,building,banking,headquarters,banking,hotel,banking,office
typewriter,type,mouse,click,mouse,print,mouse,store,mouse,withdraw,mouse,chop
bill,duck,hoof,cow,paper,seal,swan,office,tree,apple,easy,difficult
happiness,cheer,might,strength,might,weakness,might,certain,might,uncertain,might,want
dangerous,harmful,crucial,key,crucial,punch,crucial,sad,crucial,official,crucial,damaging
finish,coating,draw,tie,draw,slide,draw,gun,draw,close,draw,painting
ruby,red,grass,green,sun,blue,fur,soft,dream,asleep,fence,wooden
wind,clock,spin,top,old,young,desk,paper,student,teacher,sewer,trash
cardinal,bird,poodle,dog,ugly,beautiful,cat,Siamese,interesting,engaging,tree,wood
object,disagree,trick,deceive,trick,agree,trick,refuse,trick,surprise,trick,question
mean,average,canine,dog,sum,difference,multiplication,division,percentage,decimal,addition,sum
pound,dog,bank,money,kilogram,cat,freedom,prisoner,sidewalk,puppy,animal,wilderness
score,game,grade,class,popcorn,snack,tray,carry,cheer,happiness,soccer,goal
sail,boat,drive,car,drive,water,drive,river,drive,road,drive,fly
hail,rain,spring,fall,spring,thunder,spring,flowers,spring,snow,spring,
side,front,top,bottom,bold,shy,deck,chair,engine,stern,sad,happy
hoof,mane,whiskers,paws,ear,hear,wings,fly,dairy,cows,horse,saddle
leaf,flower,beak,feathers,beak,flying,beak,fish,beak,feathers,beak,teeth
shirt,shorts,sweater,pants,running,shoes,tomato,fruit,sunshine,sunglasses,hat,outfit
floor,ceiling,basement,attic,roof,bed,stove,kitchen,carpet,rug,dresser,wall
pillow,blanket,hat,coat,bed,room,painter,baker,toothbrush,teeth,bracelet,wrist
shark,fish,owl,bird,owl,fly,owl,land,owl,ocean,owl,animal
apple,fruit,beef,meat,beef,horse,beef,cow,beef,café,beef,cook
bread,food,coffee,drink,coffee,milk,coffee,black,coffee,cup,coffee,kitchen
zebra,animal,boat,vehicle,boat,captain,boat,engine,boat,ocean,boat,sail
Pacific,ocean,Mississippi,river,Mississippi,America,Mississippi,water,Mississippi,sea,Mississippi,meander
Jupiter,planet,Chicago,city,Chicago,residence,Chicago,America,Chicago,space,Chicago,suburb
Ohio,state,Canada,country,Canada,government,Canada,south,Canada,country,Canada,county
golden retriever,dog,seagull,bird,seagull,fish,seagull,reptile,seagull,dinosaur,seagull,mammal
strawberry,fruit,carrot,vegetable,pepper,dairy,ribbon,gift,lettuce,grain,milk,condiment
baseball,game,dictionary,book,near,far,woman,female,young,old,color,crayon
