A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
sweater,yarn,snowball,snow,petal,flower,sugar,candy,fine,charge,coyote,rabbit
water,droplet,snow,flake,snow,snowman,snow,drift,snow,blizzard,snow,storm
above,beneath,in,out,mile,distance,flying,airborne,near,under,flower,tulip
hand,grasp,arm,reach,arm,run,arm,sing,arm,bellow,arm,think
pizza,pepperoni,ice cream,sprinkles,ice cream,summer,ice cream,cone,ice cream,straw,ice cream,quart
war,pacific,silence,loud,fortunate,unlucky,fuzzy,soft,determination,willful,animal,organism
xenophobia,foreigners,zoophobia,animals,zoophobia,people,zoophobia,love,zoophobia,death,zoophobia,outings
anthropologist,society,zoologist,animals,zoologist,cartoons,zoologist,history,zoologist,music,zoologist,religion
hydrophobia,water,heliophobia,sunlight,heliophobia,darkness,heliophobia,moonlight,heliophobia,sickness,heliophobia,collision
orthodontist,teeth,pediatrician,children,pediatrician,feet,pediatrician,eyes,pediatrician,adults,pediatrician,legs
altitude,height,tonnage,weight,tonnage,length,tonnage,breadth,tonnage,height,tonnage,depth
elongate,lengthen,abbreviate,shorten,abbreviate,remonstrate,abbreviate,widen,abbreviate,deepen,abbreviate,exacerbate
eloquent,loquacious,fluently,smoothly,fluently,loosely,fluently,excessively,fluently,tightly,fluently,gingerly
kleptomania,stealing,pyromania,fire,pyromania,assault,pyromania,dogs,pyromania,protect,pyromania,wind
affliction,illness,conflict,clash,conflict,fiction,conflict,feign,conflict,pact,conflict,accord
one,monologue,two,dialogue,two,bicentennial,two,diadem,two,diagram,two,bifurcate
water,dehydrated,food,famished,food,satiated,food,corpulent,food,frenetic,food,corporeal
regicide,king,pesticide,vermin,pesticide,brother,pesticide,lover,pesticide,pet,pesticide,neighbor
terrify,terror,intensify,intense,frighten,calm,run,chase,provoke,prod,watch,movie
petals,rose,teeth,zipper,teeth,jacket,teeth,movie,teeth,toothbrush,teeth,dentistry
arrest,begin,virtue,vice,virtue,merit,virtue,prosperity,virtue,sacrifice,virtue,disbelief
carp,complain,speak,utter,rose,petal,trout,fish,forget,remember,passive,active
tango,dance,jazz,music,poem,sonnet,painting,impressionism,paint,painting,building,architecture
whisper,quiet,holler,loud,sleepwalk,asleep,chat,converse,murmur,blaring,yell,shout
weather,storm,champion,cause,champion,football,champion,discord,champion,sports,champion,undermine
bottle,cork,jar,lid,jar,ajar,jar,glass,jar,cupboard,jar,jam
bestow,award,climb,mountain,seed,tree,forget,remember,wood,carve,type,keyboard
pincushion,pin,quiver,arrow,quiver,shake,quiver,berry,quiver,hair,quiver,leaf
tournament,compete,play,act,play,drive,play,surpass,play,game,play,insist
die,dice,fish,fish,fish,slice,fish,live,fish,catch,fish,chop
